,Name,Sex,Year,Team,Medal,Sport,GDP,Real_Medal,Event_Result,Medal_Won_Corrected
0,"A. Joshua ""Josh"" West",M,2008,UK,Silver,Rowing,3074360000000.0,0,1,0.0
1,Aaron Brown,M,2016,Canada,Bronze,Athletics,1552810000000.0,0,1,0.0
2,Aaron Gate,M,2012,New Zealand,Bronze,Cycling,168462000000.0,0,1,0.0
3,Aaron John McIntosh,M,2000,New Zealand,Bronze,Sailing,58761741658.0,1,1,1.0
4,Aaron Nguimbat,M,2000,Cameroon,Gold,Football,11198378749.0,0,1,0.0
5,Aaron Nigel Armstrong,M,2008,Trinidad,Gold,Athletics,21642304046.0,1,1,1.0
6,Aaron Russell,M,2016,USA,Bronze,Volleyball,18120700000000.0,0,1,0.0
7,Aaron Wells Peirsol,M,2000,USA,Silver,Swimming,9660620000000.0,1,1,1.0
8,Aaron Wells Peirsol,M,2004,USA,Gold,Swimming,11510700000000.0,2,3,0.6666666666666666
9,Aaron Wells Peirsol,M,2008,USA,Gold,Swimming,14477600000000.0,1,2,0.5
10,Aaron Wells Peirsol,M,2008,USA,Silver,Swimming,14477600000000.0,1,1,1.0
11,Aas Mmmdov,M,2004,Azerbaijan,Bronze,Boxing,7276013032.0,1,1,1.0
12,Abbey Weitzeil,F,2016,USA,Gold,Swimming,18120700000000.0,0,1,0.0
13,Abbey Weitzeil,F,2016,USA,Silver,Swimming,18120700000000.0,0,1,0.0
14,Abbos Atayev,M,2012,Uzbekistan,Bronze,Boxing,45915191189.0,1,1,1.0
15,Abby Bishop,F,2012,Australia,Bronze,Basketball,1390560000000.0,0,1,0.0
16,Abdel Hak Achik,M,1988,Morocco,Bronze,Boxing,21765261042.0,1,1,1.0
17,"Abdelghani ""Ghani"" Yalouz",M,1996,France,Silver,Wrestling,1609890000000.0,1,1,1.0
18,Abdon Pamich,M,1964,Italy,Gold,Athletics,57710743060.0,1,1,1.0
19,Abdul Hamid,M,1964,Pakistan,Silver,Hockey,4540529105.0,0,1,0.0
20,Abdul Rashid,M,1968,Pakistan,Gold,Hockey,7403821903.0,0,1,0.0
21,Abdul Rashid,M,1972,Pakistan,Silver,Hockey,10602058190.0,0,1,0.0
22,Abdul Rashid,M,1976,Pakistan,Bronze,Hockey,11340000242.0,0,1,0.0
23,Abdul Rashid Al-Hasan,M,1984,Pakistan,Gold,Hockey,28691890433.0,0,1,0.0
24,Abdul-Rashid Bulayevich Sadulayev,M,2016,Russia,Gold,Wrestling,1365860000000.0,1,1,1.0
25,Abdullo Tovashevich Tangriyev,M,2008,Uzbekistan,Silver,Judo,22311393928.0,1,1,1.0
26,Abebe Bikila,M,1964,Ethiopia,Gold,Athletics,319890971316.0,1,1,1.0
27,Abel Kiprop Mutai,M,2012,Kenya,Bronze,Athletics,41953433591.0,1,1,1.0
28,Abel Kirui,M,2012,Kenya,Silver,Athletics,41953433591.0,1,1,1.0
29,Abelardo Fernndez Antua,M,1992,Spain,Gold,Football,575599000000.0,1,1,1.0
30,Abhinav Bindra,M,2008,India,Gold,Shooting,1201110000000.0,1,1,1.0
31,"Abigail Louise ""Abby"" Johnston",F,2012,USA,Silver,Diving,15517900000000.0,0,1,0.0
32,Abraham Olano Manzano,M,1996,Spain,Silver,Cycling,612940000000.0,1,1,1.0
33,Abramo Albini,M,1968,Italy,Bronze,Rowing,81133120065.0,1,1,1.0
34,Acer Gary Nethercott,M,2008,UK,Silver,Rowing,3074360000000.0,0,1,0.0
35,Ada Nabila Romn Arroyo,F,2012,Mexico,Silver,Archery,1171190000000.0,1,1,1.0
36,Adam Andrzej Wiercioch,M,2008,Poland,Silver,Fencing,429250000000.0,0,1,0.0
37,Adam Artur Krzesiski,M,1992,Poland,Bronze,Fencing,85500935935.0,0,1,0.0
38,Adam Artur Krzesiski,M,1996,Poland,Silver,Fencing,142137000000.0,0,1,0.0
39,Adam Dariusz Seroczyski,M,2000,Poland,Bronze,Canoeing,169718000000.0,0,1,0.0
40,Adam David Commens,M,2000,Australia,Bronze,Hockey,389147000000.0,0,1,0.0
41,Adam George Peaty,M,2016,UK,Gold,Swimming,2885570000000.0,1,1,1.0
42,Adam George Peaty,M,2016,UK,Silver,Swimming,2885570000000.0,0,1,0.0
43,Adam Joseph Van Koeverden,M,2004,Canada,Bronze,Canoeing,892381000000.0,1,1,1.0
44,Adam Joseph Van Koeverden,M,2004,Canada,Gold,Canoeing,892381000000.0,1,1,1.0
45,Adam Joseph Van Koeverden,M,2008,Canada,Silver,Canoeing,1464980000000.0,1,1,1.0
46,Adam Joseph Van Koeverden,M,2012,Canada,Silver,Canoeing,1788650000000.0,1,1,1.0
47,Adam Joseph Vella,M,2004,Australia,Bronze,Shooting,466853000000.0,1,1,1.0
48,Adam Khamidovich Saytiyev,M,2000,Russia,Gold,Wrestling,195906000000.0,1,1,1.0
49,Adam Kreek,M,2008,Canada,Gold,Rowing,1464980000000.0,0,1,0.0
50,Adam Marek Korol,M,2008,Poland,Gold,Rowing,429250000000.0,0,1,0.0
51,Adam McCright Nelson,M,2000,USA,Silver,Athletics,9660620000000.0,1,1,1.0
52,Adam McCright Nelson,M,2004,USA,Gold,Athletics,11510700000000.0,1,1,1.0
53,Adam Micha Lisewski,M,1968,Poland,Bronze,Fencing,7670775757.0,0,1,0.0
