,Year,Team,GDP,Real_Medal,Country_host
0,1964,Argentina,18272123664.0,1,Japan
1,1964,Australia,21527606675.0,18,Japan
2,1964,Belgium,14260017387.0,3,Japan
3,1964,Brazil,23021477292.0,1,Japan
4,1964,Canada,44657169109.0,4,Japan
5,1964,Cuba,3085491848.2222223,1,Japan
6,1964,Ethiopia,319890971316.0,1,Japan
7,1964,Finland,6885920329.0,5,Japan
8,1964,France,85551113767.0,15,Japan
9,1964,Ghana,1540797589.0,1,Japan
10,1964,Hungary,241100242865.75,22,Japan
11,1964,India,47776000903.0,1,Japan
12,1964,Ireland,2430843768.0,1,Japan
13,1964,Italy,57710743060.0,27,Japan
14,1964,Japan,69498131797.0,29,Japan
15,1964,Kenya,926589349.0,1,Japan
16,1964,Mexico,16936336000.0,1,Japan
17,1964,New Zealand,6638937283.0,5,Japan
18,1964,Pakistan,4540529105.0,1,Japan
19,1964,Poland,6989699268.0,23,Japan
20,1964,Romania,513784800000.0,12,Japan
21,1964,South Korea,3988246109.0,3,Japan
22,1964,Sweden,18954132366.0,8,Japan
23,1964,Trinidad,678235373.0,3,Japan
24,1964,Tunisia,5516895464.5,2,Japan
25,1964,Turkey,10355555556.0,6,Japan
26,1964,UK,85443766670.0,18,Japan
27,1964,USA,638600000000.0,89,Japan
28,1968,Argentina,24256667553.0,2,Meixo
29,1968,Australia,30421099787.0,17,Meixo
30,1968,Austria,11579431669.0,4,Meixo
31,1968,Belgium,19992040788.0,2,Meixo
32,1968,Brazil,30591834054.0,3,Meixo
33,1968,Cameroon,934079050.0,1,Meixo
34,1968,Canada,64768831262.0,5,Meixo
35,1968,Cuba,4348182194.222222,4,Meixo
36,1968,Ethiopia,451329039742.6667,2,Meixo
37,1968,Finland,9368954010.0,4,Meixo
38,1968,France,119466000000.0,15,Meixo
39,1968,Hungary,316417320019.75,32,Meixo
40,1968,India,49466168893.0,1,Meixo
41,1968,Italy,81133120065.0,16,Meixo
42,1968,Jamaica,1148025407.0,1,Meixo
43,1968,Japan,123782000000.0,24,Meixo
44,1968,Kenya,1232559506.0,9,Meixo
