,Year,Team,Total_Athletes,total_medal,Country_host,GDP,NOC,Population
0,1960,Argentina,4,4,Italy,,ARG,20619075.0
1,1960,Australia,33,46,Italy,,AUS,10276477.0
2,1960,Austria,3,3,Italy,,AUT,7047539.0
3,1960,Belgium,4,4,Italy,,BEL,9153489.0
4,1960,Brazil,13,13,Italy,,BRA,72207554.0
5,1960,Bulgaria,7,7,Italy,,BGR,7867374.0
6,1960,Canada,9,9,Italy,,CAN,17909009.0
7,1960,Czech Republic,21,22,Italy,,CZE,9602006.0
8,1960,Denmark,22,23,Italy,,DNK,4579603.0
9,1960,Ethiopia,1,1,Italy,,ETH,22151278.0
10,1960,Finland,6,6,Italy,,FIN,4429634.0
11,1960,France,12,12,Italy,,FRA,46814237.0
12,1960,Germany,81,89,Italy,,DEU,72814900.0
13,1960,Ghana,1,1,Italy,,GHA,6652287.0
14,1960,Greece,3,3,Italy,,GRC,8331725.0
15,1960,Hungary,59,66,Italy,,HUN,9983967.0
16,1960,India,13,13,Italy,,IND,449480608.0
17,1960,Iran,4,4,Italy,,IRN,21906903.0
18,1960,Iraq,1,1,Italy,,IRQ,7289761.0
19,1960,Italy,78,88,Italy,,ITA,50199700.0
20,1960,Japan,21,31,Italy,,JPN,92500572.0
21,1960,Mexico,1,1,Italy,,MEX,38174112.0
22,1960,Morocco,1,1,Italy,,MAR,12328532.0
23,1960,Netherlands,3,3,Italy,,NLD,11486631.0
24,1960,New Zealand,3,3,Italy,,NZL,2371800.0
25,1960,Norway,2,2,Italy,,NOR,3581239.0
26,1960,Pakistan,14,14,Italy,,PAK,44908293.0
27,1960,Poland,30,30,Italy,,POL,29637450.0
28,1960,Portugal,2,2,Italy,,PRT,8857716.0
29,1960,Romania,15,15,Italy,,ROU,18406905.0
30,1960,Russia,138,169,Italy,,RUS,119897000.0
31,1960,Serbia,17,17,Italy,,SRB,6702.961999999999
32,1960,Singapore,1,1,Italy,,SGP,1646400.0
33,1960,South Africa,3,3,Italy,,ZAF,17396367.0
34,1960,Spain,14,14,Italy,,ESP,30455000.0
35,1960,Sweden,6,7,Italy,,SWE,7484656.0
36,1960,Switzerland,11,12,Italy,,CHE,5327827.0
37,1960,Syria,2,2,Italy,,SYR,4573512.0
38,1960,Taiwan,1,1,Italy,,TPE,11046.258500000004
39,1960,Trinidad,4,5,Italy,,TTO,848479.0
40,1960,Turkey,9,9,Italy,,TUR,27472331.0
41,1960,UK,24,28,Italy,,GBR,52400000.0
42,1960,USA,104,125,Italy,,USA,180671000.0
43,1960,Venezuela,1,1,Italy,,VEN,8146847.0
44,1964,Argentina,1,1,Japan,18272123664.0,ARG,21953929.0
45,1964,Australia,38,44,Japan,21527606675.0,AUS,11167000.0
46,1964,Bahamas,2,2,Japan,,BHS,133698.0
47,1964,Belgium,3,3,Japan,14260017387.0,BEL,9378113.0
48,1964,Brazil,12,12,Japan,23021477292.0,BRA,81168654.0
49,1964,Bulgaria,10,10,Japan,,BGR,8144340.0
50,1964,Canada,5,5,Japan,44657169109.0,CAN,19325000.0
